TODO: sort w.r.t. cumtime instead of totttime?  not sure what the diff is atm


real  13m58.350s
user  13m57.114s
sys 0m1.192s

         259048257 function calls (259044488 primitive calls) in 838.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.051    0.051 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
       74    0.000    0.000    0.000    0.000 types.py:135(__get__)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.011    0.011 reduction.py:10(<module>)
        1    0.000    0.000    0.001    0.001 blas.py:202(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:134(<module>)
        4    0.000    0.000    0.000    0.000 inspect.py:2095(_signature_from_function)
        1    0.000    0.000    0.000    0.000 tokenize.py:448(open)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        8    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
