calculating first covariance
(85215, 3)
         259047795 function calls (259044026 primitive calls) in 617.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
       44    0.000    0.000    0.001    0.000 core.py:149(get_object_signature)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
      392    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      584    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
        5    0.000    0.000    0.001    0.000 decorator.py:202(create)
        1    0.000    0.000    0.001    0.001 matlib.py:1(<module>)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
      513    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        6    0.000    0.000    0.001    0.000 _version.py:114(_compare)
        9    0.000    0.000    0.001    0.000 abc.py:151(register)
       26    0.000    0.000    0.001    0.000 core.py:6568(__init__)
      256    0.000    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:11(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6573(getdoc)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:65(__init__)
     22/9    0.000    0.000    0.001    0.000 abc.py:196(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 subprocess.py:42(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
      392    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        2    0.000    0.000    0.001    0.000 _version.py:148(__gt__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      764    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:847(__exit__)
       53    0.000    0.000    0.000    0.000 core.py:893(__init__)
        1    0.000    0.000    0.000    0.000 _validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:299(_add_aliases)
        1    0.000    0.000    0.000    0.000 warnings.py:85(_showwarnmsg)
      717    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
        1    0.000    0.000    0.000    0.000 warnings.py:20(_showwarnmsg_impl)
        3    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(_held_figure)
        3    0.000    0.000    0.000    0.000 decorator.py:225(decorate)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
